#Species	Ordered Freq (GHz) (rest frame)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
H2CS	343.4081189	10(3,8)-9(3,7)	-2.303		133.8202	192.5363	JPL
H2CS	343.412325	10(3,7)-9(3,6)	-2.303		133.8204	192.5366	JPL
H2CS	343.8107553	10(2,8)-9(2,7)	-2.6609		88.2093	126.9128	JPL
HC15Nv=0	344.2003199	4-3	-0.7623	37.2f	17.2226	24.7793	JPL
SO3&Sigma;v=0	344.310612	8(8)-7(7)	-1.8699	10.93	49.3181	70.9573	JPL
H13CNv=0	345.3397693	J=4-3	-0.7877		17.2796	24.8617	CDMS
SO3&Sigma;v=0	345.7045553	2(3)-2(1)	-5.8873		3.0999	4.46	JPL
COv=0	345.7959899	3-2	-3.6118	70	11.535	16.5962	CDMS
SO3&Sigma;v=0	346.528481	9(8)-8(7)	-1.7956	  b	43.1928	62.1444	JPL
H13CO+	346.998344	4-3	-0.5198	1.03	17.3626	24.9808	CDMS
H2CS	348.5318733	10(1,9)-9(1,8)	-2.1031		61.5004	88.4848	JPL
CCHv=0	349.3374558	N=4-3,J=9/2-7/2,F=5-4	-2.4023	 1.2b	17.4797	25.1492	JPL
H2CO	351.768645	5(1,5)-4(1,4)	-1.7284		31.6729	45.57	CDMS
HCNv=0	354.5054779	J=4-3	-0.7526		17.7382	25.5212	CDMS
HCO+v=0	356.734223	4-3	-0.5011	17.4	17.8497	25.6816	CDMS
DCO+v=0	360.1697783	J=5-4	-0.4855	0.22	24.0291	34.5723	CDMS
CCD	360.6183094	N=5-4,J=11/2-9/2,F=13/2-11/2	-2.5676		24.0577	34.6139	CDMS
SO3&Sigma;v=0	361.3512155	6(7)-7(6)	-5.1511		33.0499	47.5512	JPL
H2CO	361.9675604	8(2,6)-9(0,9)	-5.2548		108.5464	156.1732	CDMS
DCNv=0	362.0464842	J=5-4	-0.7113	10	24.1543	34.7524	JPL
H2CO	362.736048	5(0,5)-4(0,4)	-2.1463		24.2597	34.9041	CDMS
H2CO	363.945894	5(2,4)-4(2,3)	-2.2872		57.0425	82.071	CDMS
H2CO	364.103249	5(4,1)-4(4,0)	-2.8592		155.1694	223.2529	CDMS
H2CO	364.103249	5(4,2)-4(4,1)	-2.8592		155.1694	223.2529	CDMS
H2CO	364.275141	5(3,3)-4(3,2)	-2.0126		97.9577	140.9385	CDMS
H2CO	364.288884	5(3,2)-4(3,1)	-2.0126		97.9578	140.9386	CDMS
H2CO	365.363428	5(2,3)-4(2,2)	-2.2839		57.078	82.122	CDMS
H2S	369.10145	3(2,1)-3(1,2)	-2.1266		95.0563	136.7657	CDMS
H2S	369.126912	4(3,1)-4(2,2)	-2.5882		170.3358	245.0768	CDMS
13CSv=0	369.9085505	8-7	-1.0904		43.1907	62.1414	CDMS
H2CS	371.8442411	11(1,11)-10(1,10)	-2.0258		71.2076	102.4513	JPL
N2H+v=0	372.672509	J=4-3	-0.5499		18.6472	26.829	JPL
H2CO	372.986243	12(1,11)-12(1,12)	-3.4714		190.8431	274.5791	CDMS
SO3&Sigma;v=0	373.3442892	4(4)-4(3)	-3.6389		11.0213	15.8571	JPL
H2CO	375.893216	5(1,4)-4(1,3)	-1.675		33.2835	47.8873	CDMS
H2CS	377.1066002	11(0,11)-10(0,10)	-2.4701		62.9641	90.5908	JPL
H2CS	377.5098514	11(5,7)-10(5,6)	-2.5659		290.2139	417.5507	JPL
H2CS	377.5098515	11(5,6)-10(5,5)	-2.5659		290.2139	417.5507	JPL
H2CS	377.6144555	11(2,10)-10(2,9)	-2.5599		99.6284	143.3422	JPL
H2CS	377.6292457	11(4,8)-10(4,7)	-2.8344		208.8876	300.5409	JPL
H2CS	377.6292726	11(4,7)-10(4,6)	-2.8344		208.8876	300.5409	JPL
H2CS	377.7442357	11(3,9)-10(3,8)	-2.1965		145.2751	209.0173	JPL
H2CS	377.7510677	11(3,8)-10(3,7)	-2.1965		145.2754	209.0177	JPL
SO3&Sigma;v=0	378.0646926	11(12)-11(11)	-3.7573		103.8665	149.4399	JPL
H2CS	378.2685063	11(2,9)-10(2,8)	-2.5585		99.6776	143.413	JPL
